0.96082,-1.0641
1.1529,-0.90772
1.7522,-1.2745
1.0985,-1.3862
0.70313,-0.72167
1.8951,-1.2305
1.452,-0.8745
1.1264,-1.5255
1.3679,-1.08
0.72171,-0.5922
1.469,-1.4877
1.1471,-0.92383
1.3423,-1.1293
0.42635,-1.0413
1.8411,-1.1964
1.2379,-2.138
-0.050059,-1.0786
1.2574,-0.23684
1.698,-0.64299
1.3497,-1.2066
1.7563,-1.3623
1.7229,-0.86364
0.50189,-1.2101
-0.26283,-1.2895
1.9797,-0.96966
1.214,-0.31328
1.0111,-2.3803
0.77764,-0.67966
0.1593,-1.5521
1.1213,-0.48279
0.24717,-2.3277
0.5403,-1.1226
0.88572,-0.96819
1.414,-1.2326
1.2058,-1.1111
0.26309,-1.8287
1.8117,-1.6169
1.0179,-1.4464
2.0245,-0.7992
0.33781,-1.321
0.57133,-0.15793
0.57973,-0.92328
0.94128,-2.0203
0.46484,-1.2488
0.472,-1.3572
-0.30313,-0.94341
0.54091,-1.1208
1.141,-1.1528
0.89931,-1.4018
0.90819,-1.0353
0.1164,0.6724
-2.1301,0.48228
-1.1077,-0.43117
-1.0271,0.31128
-1.8076,0.046296
-0.7936,1.4545
-1.1258,0.7976
-2.6344,1.1037
-2.3366,1.2854
-1.8969,0.72958
-1.0883,1.0035
-2.0247,-0.83229
-1.1801,0.35855
-1.1202,-0.52614
-0.61771,1.0078
-0.41044,1.1186
-1.7886,1.9627
-1.4366,1.3166
-2.5914,-0.52638
-0.83702,0.87021
-1.5598,0.52298
-1.5402,1.226
-2.3122,1.9246
-1.8487,0.47821
-1.0885,1.7748
-1.1979,1.4815
-1.485,1.0698
-0.97304,2.0286
-0.69595,2.5634
-1.6777,0.36647
-0.85827,0.82759
-1.7704,0.4563
-1.0541,1.9425
-1.3121,1.9039
-1.0347,0.42263
-1.7869,1.1253
-1.3596,0.46823
-0.2843,1.3797
-1.4178,1.1237
-1.5547,1.3774
-1.4594,-0.029615
-0.065749,0.43565
0.61676,2.5664
-1.1051,1.4479
-1.8835,0.20001
-1.6428,1.9348
-1.684,-0.014802
-1.3097,1.4855
-1.6092,-0.39404
0.057038,0.79392
